identifiant;ecole;gender;age;poids;camsa_skill_score1;camsa_time1;camsa_skill_score2;camsa_time2;plank_time;pacer_lap_distance;pacer_laps;pa_guideline;crf_means;ms_means;sports_skill;pa_is;pa_is_also;improve;increase;when_cooling_down;heart_rate;csappa1;csappa2;csappa3;csappa4;csappa5;csappa6;why_active1;why_active2;why_active3;feelings_about_pa1;feelings_about_pa2;feelings_about_pa3;self_report_pa;non_wear_time1;non_wear_time2;non_wear_time3;non_wear_time4;non_wear_time5;non_wear_time6;non_wear_time7;steps1;steps2;steps3;steps4;steps5;steps6;steps7;time_on1;time_on2;time_on3;time_on4;time_on5;time_on6;time_on7;time_off1;time_off2;time_off3;time_off4;time_off5;time_off6;time_off7;pacer_laps_20m;pacer_score;pacer_interpretation;plank_score;plank_interpretation;camsa_time_score1;camsa_time_score2;camsa_skill_time_score1;camsa_skill_time_score2;camsa_score;camsa_interpretation;pc_score;pc_interpretation;pc_status;valid_days;step_average;step_score;step_interpretation;self_report_pa_score;db_score;db_interpretation;db_status;predilection_score;adequacy_score;intrinsic_motivation_score;pa_competence_score;mc_score;mc_interpretation;mc_status;pa_guideline_score;crf_means_score;ms_means_score;sports_skill_score;fill_in_the_blanks_score;ku_score;ku_interpretation;ku_status;capl_score;capl_interpretation;capl_status
2;JEAN PIAGET;boy;10;NA;11;13;8;13;65;20;68;3;2;1;3;7;1;3;8;2;4;3;1;3;2;3;2;4;5;5;5;4;4;3;15,11666666666667;23,9500000000000;13,33333333333333;23,90000000000000;13,68333333333333;23,9833333333333;15,1500000000000;8408;5;8999;21;10429;0;7943;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;68;10;excelling;5;progressing;14;14;25;22;8,92857142857143;excelling;22,5;achieving;complete;4;8945;10;progressing;2;12;progressing;complete;7,5;6,1;7,0;6,5;27,1;excelling;complete;1;1;1;0;6;9;excelling;complete;70,6000000000000;achieving;complete
3;JEAN PIAGET;boy;10;NA;9;17;8;19;33;20;32;3;3;1;3;1;7;3;8;2;4;3;2;3;1;3;1;5;5;5;3;2;4;6;7,60000000000000;16,6000000000000;13,20000000000000;11,63333333333333;12,83333333333333;23,9500000000000;16,1833333333333;11693;1311;10680;9901;3736;1;3425;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;32;6;achieving;2;progressing;10;8;19;16;6,78571428571429;progressing;12,0;beginning;complete;6;6791;6;beginning;5;11;progressing;complete;7,5;6,8;7,5;4,5;26,3;excelling;complete;1;0;1;0;6;8;achieving;complete;57,3000000000000;progressing;complete
4;JEAN PIAGET;boy;11;NA;12;21;11;16;55;20;40;3;2;1;3;1;7;3;8;2;4;3;2;4;2;4;4;5;4;4;2;1;2;5;19,25000000000000;19,7833333333333;14,26666666666667;22,75000000000000;20,93333333333333;22,8166666666667;18,9333333333333;688;3119;7408;52;16;193;1447;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;40;8;achieving;4;progressing;6;11;18;22;7,85714285714286;progressing;18,0;progressing;complete;3;4846;3;beginning;4;7;beginning;complete;6,1;4,8;6,5;2,5;19,9;progressing;complete;1;1;1;0;6;9;excelling;complete;53,9000000000000;progressing;complete
6;JEAN PIAGET;boy;10;NA;14;14;14;13;92;20;73;3;2;1;4;1;7;3;8;2;4;3;2;3;1;3;2;4;4;4;5;4;5;6;10,70000000000000;12,4500000000000;12,20000000000000;10,55000000000000;21,11666666666667;12,7833333333333;20,8000000000000;13182;3276;10716;12387;1497;4724;3045;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;73;10;excelling;8;achieving;13;14;27;28;10,00000000000000;excelling;28,0;excelling;complete;7;6975;6;beginning;5;11;progressing;complete;7,5;6,1;6,0;7,0;26,6;excelling;complete;1;1;1;1;6;10;excelling;complete;75,6000000000000;achieving;complete
14;JEAN PIAGET;girl;11;NA;11;18;10;16;54;20;15;2;2;1;4;1;7;3;8;2;4;3;4;3;2;3;1;2;4;4;3;3;4;3;8,56666666666667;12,9166666666667;13,23333333333333;23,95000000000000;19,28333333333333;13,6333333333333;NA;9350;5898;3712;0;1713;2209;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;15;3;progressing;4;progressing;9;11;20;21;7,50000000000000;progressing;10,5;beginning;complete;5;4576;3;beginning;2;5;beginning;complete;7,5;5,5;5,0;5,0;23,0;achieving;complete;0;1;1;1;6;9;excelling;complete;47,5000000000000;beginning;complete
21;JEAN PIAGET;boy;10;NA;11;16;10;15;67;20;50;3;2;1;3;1;7;8;3;2;4;4;3;2;2;3;2;3;4;4;4;3;3;3;12,35000000000000;11,3333333333333;8,00000000000000;23,58333333333333;13,08333333333333;NA;NA;5424;8622;11401;409;9374;NA;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;50;10;excelling;5;progressing;11;12;22;22;7,85714285714286;progressing;22,5;achieving;complete;4;8705;10;progressing;2;12;progressing;complete;5,5;4,2;5,5;5,0;20,2;progressing;complete;1;1;1;0;4;7;progressing;complete;61,7000000000000;progressing;complete
22;JEAN PIAGET;boy;10;NA;11;21;9;16;42;20;28;2;3;4;3;3;7;8;4;2;1;4;2;3;2;4;2;5;4;5;4;3;5;1;11,26666666666667;10,7500000000000;9,98333333333333;9,38333333333333;11,00000000000000;NA;NA;4409;6640;8175;7220;3183;NA;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;28;5;progressing;3;progressing;6;11;17;20;7,14285714285714;progressing;12,0;beginning;complete;5;5925;4;beginning;0;4;beginning;complete;6,1;5,4;7,0;6,0;24,5;achieving;complete;0;0;0;0;2;2;beginning;complete;42,5000000000000;beginning;complete
23;JEAN PIAGET;girl;10;NA;13;18;13;17;48;20;35;1;4;2;4;1;7;3;8;2;4;3;2;3;2;3;1;4;5;5;3;2;4;3;13,85000000000000;11,7666666666667;12,73333333333333;12,86666666666667;18,13333333333333;NA;NA;4100;11349;15006;5083;9701;NA;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;35;7;excelling;3;progressing;9;10;22;23;8,21428571428572;achieving;15,0;progressing;complete;5;9048;11;progressing;2;13;progressing;complete;7,5;6,1;7,0;4,5;25,1;excelling;complete;0;0;0;1;6;7;progressing;complete;60,1000000000000;progressing;complete
24;JEAN PIAGET;girl;11;NA;14;15;13;15;78;20;72;3;2;1;3;8;7;3;4;2;1;2;1;3;1;3;2;4;4;5;4;4;5;5;17,41666666666667;11,7833333333333;9,60000000000000;13,03333333333333;16,53333333333333;23,9666666666667;NA;1081;6608;9518;10031;5744;23;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;72;10;excelling;6;achieving;12;12;26;25;9,28571428571429;excelling;24,0;excelling;complete;5;6596;6;beginning;4;10;beginning;complete;6,2;6,8;6,5;6,5;26,0;excelling;complete;1;1;1;0;3;6;progressing;complete;66,0000000000000;progressing;complete
25;JEAN PIAGET;boy;10;NA;13;15;13;13;110;20;38;3;2;1;3;7;1;3;8;2;4;3;2;3;4;3;2;5;4;5;4;5;4;6;12,68333333333333;9,7500000000000;9,48333333333333;7,70000000000000;10,68333333333333;NA;NA;8289;12736;15145;14577;9496;NA;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;38;7;achieving;9;excelling;12;14;25;27;9,64285714285714;excelling;24,0;excelling;complete;5;12049;17;achieving;5;22;progressing;complete;7,5;4,8;7,0;6,5;25,8;achieving;complete;1;1;1;0;6;9;excelling;complete;80,8000000000000;excelling;complete
