id;date;wear_time;total_counts_axis1;total_counts_vm;axis1_per_min;vm_per_min;minutes_SED;minutes_LPA;minutes_MPA;minutes_VPA;minutes_MVPA;percent_SED;percent_LPA;percent_MPA;percent_VPA;percent_MVPA;ratio_mvpa_sed;mets_hours_mvpa;total_kcal;pal;total_steps;max_steps_60min;max_steps_30min;max_steps_20min;max_steps_5min;max_steps_1min;peak_steps_60min;peak_steps_30min;peak_steps_20min;peak_steps_5min;peak_steps_1min;ig;M1/3;M120;M60;M30;M15;M5
2;2024-03-12;533;227873;545599,32;427,53;1023,64;128;379;26;0;26;24,02;71,11;4,88;0;4,88;0,20;0;NA;NA;8408;43,43;74,03;101,20;115,2;125;88,83;106,73;111,80;120,6;125;-1,62;1135,23;2965,44;3913,69;4840,21;6152,24;10168,97
2;2024-03-13;3;467;962,18;155,67;320,73;1;2;0;0;0;33,33;66,67;0,00;0;0,00;0,00;0;NA;NA;5;0,05;0,10;0,15;0,6;3;0,08;0,17;0,25;1,0;3;-0,63;320,73;320,73;320,73;320,73;320,73;320,73
2;2024-03-14;640;302182;778335,72;472,16;1216,15;177;396;67;0;67;27,66;61,88;10,47;0;10,47;0,38;0;NA;NA;8999;42,53;61,67;80,05;105,0;133;87,03;100,13;104,85;117,6;133;-1,40;1600,61;4116,23;5362,64;6199,56;6772,60;7359,91
2;2024-03-15;6;2260;6483,46;376,67;1080,58;3;3;0;0;0;50,00;50,00;0,00;0;0,00;0,00;0;NA;NA;21;0,33;0,67;1,00;4,0;8;0,35;0,70;1,05;4,2;8;-0,40;1080,58;1080,58;1080,58;1080,58;1080,58;1296,29
2;2024-03-16;619;350024;815218,53;565,47;1316,99;203;328;88;0;88;32,79;52,99;14,22;0;14,22;0,43;0;NA;NA;10429;44,48;72,03;100,75;124,6;127;99,42;113,70;118,55;124,6;127;-1,38;1693,89;4324,73;5231,14;5937,45;6609,45;7765,71
2;2024-03-17;1;0;3,00;0,00;3,00;1;0;0;0;0;100,00;0,00;0,00;0;0,00;0,00;0;NA;NA;0;0,00;0,00;0,00;0,0;0;0,00;0,00;0,00;0,0;0;NA;3,00;3,00;3,00;3,00;3,00;3,00
2;2024-03-18;531;287954;699892,78;542,29;1318,07;217;227;87;0;87;40,87;42,75;16,38;0;16,38;0,40;0;NA;NA;7943;67,03;74,30;80,25;110,4;125;78,65;93,20;101,20;117,8;125;-1,07;1458,11;4324,68;5356,41;5773,63;6115,91;6510,66
2;2024-03-19;1;18;645,59;18,00;645,59;0;1;0;0;0;0,00;100,00;0,00;0;0,00;NA;0;NA;NA;1;0,02;0,03;0,05;0,2;1;0,02;0,03;0,05;0,2;1;NA;645,59;645,59;645,59;645,59;645,59;645,59
2;2024-03-20;236;30815;83408,43;130,57;353,43;166;67;3;0;3;70,34;28,39;1,27;0;1,27;0,02;0;NA;NA;423;3,80;4,47;4,65;10,6;31;6,77;11,10;14,05;23,0;31;-1,87;353,43;694,72;1281,75;2002,93;2665,68;3824,99
2;2024-03-21;16;1397;2858,53;87,31;178,66;12;4;0;0;0;75,00;25,00;0,00;0;0,00;0,00;0;NA;NA;12;0,12;0,23;0,35;1,0;3;0,20;0,40;0,60;2,2;3;-1,33;178,66;178,66;178,66;178,66;190,57;534,16
2;2024-03-22;75;31155;55802,13;415,40;744,03;43;30;2;0;2;57,33;40,00;2,67;0;2,67;0,05;0;NA;NA;632;9,90;18,37;22,40;38,0;46;10,53;21,07;29,25;43,4;46;-1,09;744,03;744,03;930,04;1842,15;2859,52;4589,74
2;2024-03-23;0;0;0,00;NA;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0,00;0,00;0,00;0,0;0;0,00;0,00;0,00;0,0;0;NA;NA;NA;NA;NA;NA;NA
2;2024-03-24;0;0;0,00;NA;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0,00;0,00;0,00;0,0;0;0,00;0,00;0,00;0,0;0;NA;NA;NA;NA;NA;NA;NA
